speciesID,familyID,bbsNumber,commonNameE,commonNameF,scientificNameE,scientificNameF,aou,descriptionE,descriptionF,XStatus,XModUTC
CITE,14,1410,Cinnamon Teal,Sarcelle cannelle,Anas cyanoptera,Anas cyanoptera,38,NULL,NULL,A,25:09.9
CLNU,27,4910,Clark's Nutcracker,Cassenoix d'Amérique,Nucifraga columbiana,Nucifraga columbiana,1388,NULL,NULL,A,25:10.0
CLSW,53,6120,Cliff Swallow,Hirondelle à front blanc,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,1429,NULL,NULL,A,25:10.2
CMWA,58,6500,Cape May Warbler,Paruline tigrée,Setophaga tigrina,Setophaga tigrina,1985,NULL,NULL,A,25:10.3
COEI,14,1590,Common Eider,Eider à duvet,Somateria mollissima,Somateria mollissima,63,NULL,NULL,A,25:10.4
COGA,46,2190,Common Gallinule,Gallinule d’Amérique,Gallinula galeata,Gallinula galeata,430,NULL,NULL,A,25:10.5
COGO,14,1510,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,Bucephala clangula,72,NULL,NULL,A,25:10.7
COGR,2,5110,Common Grackle,Quiscale bronzé,Quiscalus quiscula,Quiscalus quiscula,1938,NULL,NULL,A,25:10.8
COHA,22,3330,Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,Accipiter cooperii,792,NULL,NULL,A,25:10.9
COLO,32,70,Common Loon,Plongeon huard,Gavia immer,Gavia immer,628,NULL,NULL,A,25:11.0
COME,14,1290,Common Merganser,Grand Harle,Mergus merganser,Mergus merganser,76,NULL,NULL,A,25:11.2
COMU,33,300,Common Murre,Guillemot marmette,Uria aalge,Uria aalge,542,NULL,NULL,A,25:11.3
CONI,35,4200,Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,Chordeiles minor,226,NULL,NULL,A,25:11.4
CONW,58,6780,Connecticut Warbler,Paruline à gorge grise,Oporornis agilis,Oporornis agilis,1965,NULL,NULL,A,25:11.5
COPO,35,4180,Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,229,NULL,NULL,A,25:11.7
CORA,27,4860,Common Raven,Grand Corbeau,Corvus corax,Corvus corax,1405,NULL,NULL,A,25:11.8
CORE,16,5280,Common Redpoll,Sizerin flammé,Acanthis flammea,Acanthis flammea,1753,NULL,NULL,A,25:11.9
COTE,21,700,Common Tern,Sterne pierregarin,Sterna hirundo,Sterna hirundo,613,NULL,NULL,A,25:12.0
COYE,58,6810,Common Yellowthroat,Paruline masquée,Geothlypis trichas,Geothlypis trichas,1976,NULL,NULL,A,25:12.1
CRPL,44,2750,Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,Charadrius hiaticula,458,NULL,NULL,A,25:12.3
CSWA,58,6590,Chestnut-sided Warbler,Paruline à flancs marron,Setophaga pensylvanica,Setophaga pensylvanica,1993,NULL,NULL,A,25:12.4
